Image ID,Image URL,Actual Food Name,Cuisine,Veg/NonVeg,Lighting,Plate Type,Angle,Serving Size,AI Prediction,Confidence,Calories (kcal),Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g),Response Time (ms),Vision Model Used,Database Match,API Status,Result Status,Failure Reason,Severity
IMG_1414,https://cdn.pulsefit.app/audit/v3/IMG_1414.jpg,South Indian Special Veg Dish #114,South Indian,Veg,Outdoor Natural,Banana Leaf,Top-Down 90°,1 Serving (250g),South Indian Special Veg Dish #114,0.85,338,24,32,24,3.8,2.6,745,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1421,https://cdn.pulsefit.app/audit/v3/IMG_1421.jpg,South Indian Special Veg Dish #121,South Indian,Veg,Dim Restaurant,Banana Leaf,Close-up,1 Serving (250g),South Indian Special Veg Dish #121,0.87,605,12,32,8,3.8,2.6,736,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1466,https://cdn.pulsefit.app/audit/v3/IMG_1466.jpg,Street Food Special Veg Dish #16,Street Food,Veg,Dim Restaurant,Banana Leaf,Angled 45°,1 Serving (250g),Street Food Special Veg Dish #16,0.88,186,11,25,22,3.0,2.0,887,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1488,https://cdn.pulsefit.app/audit/v3/IMG_1488.jpg,Street Food Special Veg Dish #38,Street Food,Veg,Day Indoor,Steel Thali,Close-up,1 Serving (250g),Street Food Special Veg Dish #38,0.86,303,34,34,22,4.1,2.7,922,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1534,https://cdn.pulsefit.app/audit/v3/IMG_1534.jpg,Street Food Special Veg Dish #84,Street Food,Veg,Day Indoor,Steel Thali,Close-up,1 Serving (250g),Street Food Special Veg Dish #84,0.89,472,34,53,19,6.4,4.2,814,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1564,https://cdn.pulsefit.app/audit/v3/IMG_1564.jpg,Street Food Special Veg Dish #114,Street Food,Veg,Dim Restaurant,Banana Leaf,Side View,1 Serving (250g),Street Food Special Veg Dish #114,0.86,311,17,57,25,6.8,4.6,886,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1579,https://cdn.pulsefit.app/audit/v3/IMG_1579.jpg,Street Food Special Veg Dish #129,Street Food,Veg,Night Warm Light,Takeaway Container,Close-up,1 Serving (250g),Street Food Special Veg Dish #129,0.87,518,26,33,15,4.0,2.6,1111,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1601,https://cdn.pulsefit.app/audit/v3/IMG_1601.jpg,Chinese Special Veg Dish #1,Chinese,Veg,Night Warm Light,Steel Thali,Side View,1 Serving (250g),Chinese Special Veg Dish #1,0.87,296,31,60,15,7.2,4.8,784,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1615,https://cdn.pulsefit.app/audit/v3/IMG_1615.jpg,Chinese Special Chicken Dish #15,Chinese,Non-Veg,Dim Restaurant,Ceramic White,Angled 45°,1 Serving (250g),Chinese Special Chicken Dish #15,0.87,411,6,47,21,5.6,3.8,681,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1616,https://cdn.pulsefit.app/audit/v3/IMG_1616.jpg,Chinese Special Veg Dish #16,Chinese,Veg,Outdoor Natural,Steel Thali,Side View,1 Serving (250g),Chinese Special Veg Dish #16,0.86,359,12,50,20,6.0,4.0,875,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1628,https://cdn.pulsefit.app/audit/v3/IMG_1628.jpg,Chinese Special Chicken Dish #28,Chinese,Non-Veg,Night Warm Light,Steel Thali,Side View,1 Serving (250g),Chinese Special Chicken Dish #28,0.89,640,5,64,25,7.7,5.1,1095,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1634,https://cdn.pulsefit.app/audit/v3/IMG_1634.jpg,Chinese Special Veg Dish #34,Chinese,Veg,Outdoor Natural,Ceramic White,Side View,1 Serving (250g),Generic Chinese Curry,0.82,283,16,20,5,2.4,1.6,1053,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1635,https://cdn.pulsefit.app/audit/v3/IMG_1635.jpg,Chinese Special Veg Dish #35,Chinese,Veg,Dim Restaurant,Steel Thali,Angled 45°,1 Serving (250g),Chinese Special Veg Dish #35,0.89,159,16,45,24,5.4,3.6,873,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1666,https://cdn.pulsefit.app/audit/v3/IMG_1666.jpg,Chinese Special Veg Dish #66,Chinese,Veg,Dim Restaurant,Ceramic White,Angled 45°,1 Serving (250g),Chinese Special Veg Dish #66,0.88,435,12,35,5,4.2,2.8,888,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1721,https://cdn.pulsefit.app/audit/v3/IMG_1721.jpg,Gujarati Special Veg Dish #41,Gujarati,Veg,Night Warm Light,Takeaway Container,Side View,1 Serving (250g),Gujarati Special Veg Dish #41,0.87,284,26,31,13,3.7,2.5,978,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1725,https://cdn.pulsefit.app/audit/v3/IMG_1725.jpg,Gujarati Special Veg Dish #45,Gujarati,Veg,Outdoor Natural,Takeaway Container,Side View,1 Serving (250g),Gujarati Special Veg Dish #45,0.87,454,29,29,19,3.5,2.3,809,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1727,https://cdn.pulsefit.app/audit/v3/IMG_1727.jpg,Gujarati Special Veg Dish #47,Gujarati,Veg,Night Warm Light,Banana Leaf,Angled 45°,1 Serving (250g),Generic Gujarati Curry,0.82,565,25,56,9,6.7,4.5,960,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1742,https://cdn.pulsefit.app/audit/v3/IMG_1742.jpg,Punjabi Special Veg Dish #2,Punjabi,Veg,Night Warm Light,Ceramic White,Side View,1 Serving (250g),Generic Punjabi Curry,0.8,521,8,24,14,2.9,1.9,886,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1761,https://cdn.pulsefit.app/audit/v3/IMG_1761.jpg,Punjabi Special Veg Dish #21,Punjabi,Veg,Dim Restaurant,Takeaway Container,Close-up,1 Serving (250g),Punjabi Special Veg Dish #21,0.89,588,33,34,21,4.1,2.7,768,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1810,https://cdn.pulsefit.app/audit/v3/IMG_1810.jpg,Fast Food Special Veg Dish #10,Fast Food,Veg,Night Warm Light,Banana Leaf,Angled 45°,1 Serving (250g),Fast Food Special Veg Dish #10,0.89,269,8,45,10,5.4,3.6,625,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1814,https://cdn.pulsefit.app/audit/v3/IMG_1814.jpg,Fast Food Special Chicken Dish #14,Fast Food,Non-Veg,Outdoor Natural,Takeaway Container,Top-Down 90°,1 Serving (250g),Generic Fast Food Curry,0.81,325,21,44,4,5.3,3.5,986,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1838,https://cdn.pulsefit.app/audit/v3/IMG_1838.jpg,Fast Food Special Veg Dish #38,Fast Food,Veg,Outdoor Natural,Steel Thali,Angled 45°,1 Serving (250g),Generic Fast Food Curry,0.79,594,35,30,8,3.6,2.4,689,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1852,https://cdn.pulsefit.app/audit/v3/IMG_1852.jpg,Desserts Special Chicken Dish #2,Desserts,Non-Veg,Outdoor Natural,Steel Thali,Close-up,1 Serving (250g),Desserts Special Chicken Dish #2,0.86,254,19,38,17,4.6,3.0,1082,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1876,https://cdn.pulsefit.app/audit/v3/IMG_1876.jpg,Desserts Special Veg Dish #26,Desserts,Veg,Outdoor Natural,Steel Thali,Close-up,1 Serving (250g),Desserts Special Veg Dish #26,0.89,214,11,58,24,7.0,4.6,1048,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1907,https://cdn.pulsefit.app/audit/v3/IMG_1907.jpg,Healthy Foods Special Chicken Dish #7,Healthy Foods,Non-Veg,Night Warm Light,Ceramic White,Top-Down 90°,1 Serving (250g),Healthy Foods Special Chicken Dish #7,0.89,325,33,56,16,6.7,4.5,811,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_1941,https://cdn.pulsefit.app/audit/v3/IMG_1941.jpg,Rajasthani Special Veg Dish #1,Rajasthani,Veg,Day Indoor,Banana Leaf,Side View,1 Serving (250g),Generic Rajasthani Curry,0.79,323,24,63,15,7.6,5.0,684,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1974,https://cdn.pulsefit.app/audit/v3/IMG_1974.jpg,Rajasthani Special Veg Dish #34,Rajasthani,Veg,Outdoor Natural,Ceramic White,Top-Down 90°,1 Serving (250g),Generic Rajasthani Curry,0.76,548,9,48,25,5.8,3.8,931,gpt-4o-mini,RegionalFoodDatabase,200 OK,FAIL,Visual Feature Ambiguity in Low Light,MEDIUM
IMG_1982,https://cdn.pulsefit.app/audit/v3/IMG_1982.jpg,Bengali Special Veg Dish #2,Bengali,Veg,Dim Restaurant,Ceramic White,Side View,1 Serving (250g),Bengali Special Veg Dish #2,0.88,510,21,32,11,3.8,2.6,670,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_2043,https://cdn.pulsefit.app/audit/v3/IMG_2043.jpg,Goan Special Veg Dish #23,Goan,Veg,Night Warm Light,Ceramic White,Angled 45°,1 Serving (250g),Goan Special Veg Dish #23,0.85,256,21,57,20,6.8,4.6,1045,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_2047,https://cdn.pulsefit.app/audit/v3/IMG_2047.jpg,Goan Special Veg Dish #27,Goan,Veg,Dim Restaurant,Takeaway Container,Top-Down 90°,1 Serving (250g),Goan Special Veg Dish #27,0.88,194,23,28,15,3.4,2.2,924,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_2056,https://cdn.pulsefit.app/audit/v3/IMG_2056.jpg,Drinks Special Veg Dish #6,Drinks,Veg,Dim Restaurant,Banana Leaf,Side View,1 Serving (250g),Drinks Special Veg Dish #6,0.87,373,30,51,13,6.1,4.1,1095,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
IMG_2087,https://cdn.pulsefit.app/audit/v3/IMG_2087.jpg,Kashmiri Special Veg Dish #7,Kashmiri,Veg,Night Warm Light,Takeaway Container,Close-up,1 Serving (250g),Kashmiri Special Veg Dish #7,0.88,403,18,45,15,5.4,3.6,888,gpt-4o-mini,RegionalFoodDatabase,200 OK,PARTIAL PASS,Calorie Estimation Variance (15-25%),LOW
